kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck25_WSE_ck25:8-en,-0.9629122563245074,1.0,1.0,0.03708774367549266
wins,ck25_IIS-L_ck25:5-en,-0.9448341194363271,1.0,1.0,0.055165880563672894
wins,ck25_IIS-L_ck25:6-en,-0.8622838056152552,1.0,1.0,0.13771619438474478
wins,ck25_INFAI_ck25:2-en,-0.8598969946854546,1.0,1.0,0.14010300531454548
wins,ck25_IIS-Q_ck25:14-en,-0.8598546176846491,1.0,1.0,0.14014538231535095
fails,ck25_WSE_ck25:33-en,0.6824038585535589,0.0,0.8852140475440834,0.20281018899052447
fails,ck25_IIS-L_ck25:12-en,0.6597905841378294,0.0,0.7205745450576256,0.0607839609197962
fails,ck25_IIS-L_ck25:3-en,0.5364108828836235,0.0,0.5969491792019646,0.06053829631834109
fails,ck25_WSE_ck25:23-en,0.5252634791911867,0.0,0.5781724197275697,0.05290894053638302
fails,ck25_AIFB_ck25:9-en,0.463705439503127,0.0,0.559978208842951,0.09627276933982402
