metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.8241072698595011,0.7841939642431501,0.862181123127156,0.8261187352874686,0.743483175117121,0.7968317492079373
qcan-rouge-4-strict,0.5010124087786669,0.4260497046811999,0.5695156617914882,0.4225672131617578,0.3146703812373843,0.6795897948974488
qcan-rouge-4-flex,0.4911826456620007,0.41499950284757126,0.5622636365717452,0.4073852554093484,0.3006839809943955,0.6717775554443889
qcan-bleu-strict,0.47577586759763024,0.4004276191993554,0.5460509950907496,0.3713971117231028,0.2715199728159998,0.6550025012506253
qcan-bleu-flex,0.4708735769582586,0.39797149226605777,0.5392243874331708,0.35320385683474603,0.25575449840109965,0.6461480740370185
rouge_4,0.3945711595418777,0.31949960525153387,0.4616143530917359,0.32383132874200027,0.24340083262358703,0.6402284475571118
bleu,0.3372699590853013,0.2513822324272774,0.4162247685891849,0.26993654393750366,0.20066563475590238,0.6156244789061197
