metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.7731080505551915,0.667691570308319,0.8650528683685924,0.8296256862543947,0.7475588649187935,0.7794221282593375
qcan-bleu-strict,0.441797174475262,0.27930440823290675,0.5785437293862502,0.45913903917431453,0.35674218219441917,0.702783650458069
bleu,0.43279542661881976,0.276601328444155,0.5742140166119633,0.4240365943150573,0.32579562933805867,0.6867512332628611
qcan-bleu-flex,0.4263409735055336,0.25761985177328367,0.5673000839377459,0.4267142979297526,0.3237743791318694,0.6855179704016914
qcan-rouge-4-strict,0.42153519821988844,0.24678643108310133,0.5595201097440093,0.43518849504924867,0.3315530674958601,0.6883368569415081
qcan-rouge-4-flex,0.4046100827091822,0.23808453727678772,0.5475513348042897,0.41216066004306684,0.310716082325457,0.6774136715997181
rouge_4,0.32334456587578264,0.15966037308570014,0.4706815457415678,0.36592304277921056,0.2816121097952506,0.6613812544045102
