metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.947466763196014,0.9156552608902888,0.9808574833162375,0.8765752632238992,0.8,0.82
rouge_4,0.6094920383296951,0.2264006612590047,0.8399078680017462,0.5034310935037768,0.39300452254971,0.73
bleu,0.4704600912921815,0.06427300464815654,0.7297114233719468,0.24821625740872033,0.1708715315433522,0.6
qcan-bleu-strict,0.41685494415785934,0.08028589023102166,0.7018165078187465,0.36846124089084814,0.30235394895347606,0.675
qcan-bleu-flex,0.40411155530080706,0.037347468998958626,0.6936088174880226,0.3303329139950639,0.26485087389219586,0.655
qcan-rouge-4-strict,0.26282699907595286,-0.14581963724797298,0.5778299999814127,0.3591094327464104,0.25052184341859446,0.645
qcan-rouge-4-flex,0.2592540602426111,-0.13028476583487025,0.5715534384086354,0.35863949653713423,0.2491313321607835,0.645
