metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.5925875872183061,0.11805788818064442,0.8936713573637671,0.5682164685724541,0.4888129019342116,0.6592920353982301
bleu,0.5139517065481197,-0.08332201014192965,0.7753630927124239,0.37658776093554924,0.3177399912898859,0.6637168141592921
rouge_4,0.4209265377014996,-0.3062648128558289,0.7653177815848071,0.30245631193248834,0.1975140486396588,0.6017699115044248
qcan-bleu-strict,0.30728173567683054,-0.3998280431151798,0.7398285717072207,0.2816995062116313,0.2318643179682951,0.6194690265486725
qcan-bleu-flex,0.30728173567683054,-0.42054392309762495,0.7371380876297378,0.2816995062116313,0.2318643179682951,0.6194690265486725
qcan-rouge-4-strict,0.26537506978493175,-0.2992086402045199,0.6457416977454963,0.1556760429064278,0.12881350998238617,0.5663716814159292
qcan-rouge-4-flex,0.26537506978493175,-0.33987946646438094,0.6307907458843006,0.1556760429064278,0.12881350998238617,0.5663716814159292
