metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.7817913708371722,0.6689887589176502,0.8763639653031371,0.7589058715829395,0.6702387577880584,0.7423343224530168
qcan-bleu-strict,0.537879905261946,0.3676501776785312,0.6680710635797152,0.5219497052849583,0.4029474391650833,0.7215628090999011
qcan-bleu-flex,0.5257074972469883,0.35178874417178724,0.6613743363959901,0.4902761756465381,0.3705972060179806,0.7054071876030333
qcan-rouge-4-strict,0.47048817579877206,0.2871496004582809,0.6053086777070594,0.4527811027462536,0.3411189138625332,0.6874381800197824
qcan-rouge-4-flex,0.4561844859685887,0.2777009899150108,0.5972747450207518,0.4294864735350088,0.32026094018262075,0.6768875700626442
bleu,0.4246768689020971,0.24861673521852545,0.5785003799449809,0.4053147502884066,0.3112834711067279,0.6726013847675568
rouge_4,0.3199738700957365,0.12484200912451093,0.48247968407134517,0.347216399313749,0.26318983614707203,0.645895153313551
