kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,db26_IRIS_db26:17-en,-0.8086550712743787,1.0,1.0,0.19134492872562128
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:32-es,-0.6891557807535084,0.0,0.0,0.6891557807535084
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:50-en,-0.6060502426958307,1.0,0.7365589940842712,0.13050875138844037
wins,db26_SPARQL-LLM_db26:50-es,-0.5244839217731516,1.0,1.0,0.4755160782268483
wins,db26_SPARQL-LLM_db26:50-en,-0.5244839217731516,1.0,1.0,0.4755160782268483
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:50-es,0.5957799984160214,0.0,0.7590994812356263,0.16331948281960493
fails,db26_IRIS_db26:17-es,0.594356121945087,0.0,0.7565293041233583,0.16217318217827123
fails,ck26_LIBER-AI-CLAUDE_ck26:9-en,0.45880341245953904,0.0,0.5786592160764967,0.1198558036169577
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:50-en,0.4254495238632786,0.0,0.5360330312711556,0.11058350740787706
fails,db26_LIBER-AI-CLAUDE_db26:48-en,0.40297197492634673,0.0,0.4983116255128665,0.0953396505865198
