metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0
bleu,0.6338264278562354,0.5060696326383206,0.7440101545273068,0.6030260414193572,0.4992969827779169,0.8802474591250552
rouge_4,0.4443016609854459,0.25751192173732157,0.6108285647469653,0.4439382137277721,0.36737251349141864,0.7799381352187362
qcan-rouge-4-strict,0.37242475623315735,0.2238811691975595,0.5134229452940826,0.33734098596882756,0.2835282669767587,0.7121078214759169
qcan-rouge-4-flex,0.36851577074683856,0.2191755861988557,0.5110798261945793,0.33526137359320124,0.27965494200893304,0.7112240388864339
qcan-bleu-strict,0.3342830545158128,0.16496221887292092,0.5082578705180333,0.3726834351740064,0.3151714945545559,0.7339814405656209
qcan-bleu-flex,0.3290500720764454,0.1542105901874386,0.5099648831506444,0.3654988420496488,0.3061843636778946,0.7300044189129474
