metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.5929326140000606,0.3326644020067122,0.7801760307425203,0.6724509623384312,0.5989527482354798,0.679372197309417
bleu,0.2516993187180854,-0.19068905909260028,0.5761071006398591,0.20228729547579996,0.17332510941291596,0.5964125560538116
qcan-bleu-strict,0.1567676366327503,-0.42887951413783454,0.4880491687972121,0.025364545694781887,0.044663813523472325,0.5246636771300448
qcan-bleu-flex,0.1567676366327503,-0.41867640203851886,0.4910807808825155,0.025364545694781887,0.044663813523472325,0.5246636771300448
rouge_4,-0.007974698095268299,-0.479134347733945,0.38622303230774024,-0.11404115986555163,-0.09270877945342015,0.4484304932735426
qcan-rouge-4-strict,-0.06383043141400832,-0.5890095123329532,0.3488319587742848,-0.13950500132130034,-0.11775005383460886,0.4349775784753363
qcan-rouge-4-flex,-0.06383043141400832,-0.5897559477708508,0.34424702540948576,-0.13950500132130034,-0.11775005383460886,0.4349775784753363
