metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.8036459808746333,0.7435003830712986,0.8584962323647358,0.7658322686502793,0.6893228451130821,0.7582211197732105
qcan-bleu-strict,0.5202077492222327,0.395829201991905,0.6254062914151849,0.41632002741241814,0.3229123890755495,0.6879518072289157
qcan-bleu-flex,0.5021632289858283,0.3661356273942723,0.6094228610697704,0.3677024894685884,0.2779033292765076,0.6638554216867469
qcan-rouge-4-strict,0.5005054160055036,0.37883895936363315,0.609310421542384,0.4217683962930795,0.322232378855719,0.6875265768958185
qcan-rouge-4-flex,0.47881517113567396,0.33644389645028544,0.5876233824705331,0.3722686801095325,0.2808821118271453,0.6648121899362155
rouge_4,0.39610069480766186,0.2546678187549326,0.506655708756269,0.25080762419473146,0.19062812220326747,0.6124025513819986
bleu,0.3222007996645633,0.16214287035136749,0.4570806547057475,0.15704797794002698,0.11597476879565374,0.5684620836286322
