kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:46-en,-0.7473526366013037,1.0,1.0,0.25264736339869626
wins,ck26_IRIS_ck26:19-en,-0.6829232927455362,1.0,1.0,0.31707670725446385
wins,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:45-en,-0.6104825120240663,1.0,1.0,0.38951748797593366
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:50-en,-0.6060502426958307,1.0,0.7365589940842712,0.13050875138844037
wins,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:19-en,-0.6055631672798837,1.0,0.8309006988851894,0.22533753160530573
fails,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:20-en,0.42342011849085254,0.07407407407407407,0.5418307027772188,0.11841058428636626
fails,ck26_LIBER-AI-QWEN_ck26:50-en,0.38009077763980714,0.0,0.6428821544925049,0.2627913768526977
fails,ck26_LIBER-AI-QWEN_ck26:21-en,0.3228462926662539,0.0,0.5748934038035106,0.2520471111372567
fails,ck26_LIBER-AI-QWEN_ck26:19-en,0.3192905021313872,0.0,0.5223883271661752,0.20309782503478804
fails,ck26_LIBER-AI-QWEN_ck26:45-en,0.254422462300806,0.0,0.4985591070050039,0.24413664470419785
