metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
answerset_f1,0.8180551909181046,0.7637242777103137,0.8661052983281822,0.7741790379286275,0.7216662092174196,0.9703964359504132
qcan-rouge-4-strict,0.5514973916718287,0.4748608625148049,0.6217553775263679,0.51335439939292,0.4392789822080119,0.8617962293388429
qcan-bleu-strict,0.5503462553722386,0.46526796897872075,0.6284945009944367,0.4929498530578399,0.4197765475353311,0.8489152892561983
qcan-rouge-4-flex,0.5444920366775741,0.46504085419298724,0.6143200869313333,0.4976244232323573,0.41938245333012103,0.8550813533057852
qcan-bleu-flex,0.5374929050194889,0.4497983005376623,0.6165632454909095,0.44884349200143353,0.3703085734196841,0.8234439566115702
naive-can-rouge-4,0.4701454982496573,0.38604028276592733,0.5472149379789428,0.4315398514525594,0.36027834327324515,0.8095461002066116
naive-can-bleu,0.3965361915789761,0.2979585346009119,0.4886433624540653,0.3440749505999084,0.28369660386116136,0.7479661673553719
rouge_4,0.35266251856662034,0.26071800361728836,0.4377545117800827,0.33390185688603585,0.2806243040080456,0.7386363636363636
sp-bleu,0.2710060208206272,0.17551417415940374,0.3674585482482843,0.2666229934780539,0.21980489776108886,0.6921487603305785
bleu,0.19515328226773546,0.09792400996915399,0.29226204450474225,0.2224770459853392,0.18341660184849734,0.6603338068181818
