metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.5898027541694444,0.32927443596305117,0.7803249448516566,0.6730853501798347,0.6030226891555271,0.6818181818181818
bleu,0.2309915298446853,-0.21947552305750512,0.570907407201636,0.1630696369847876,0.1460954260673022,0.5818181818181818
qcan-bleu-strict,0.14791530020705967,-0.4486559835361307,0.4837948176930001,0.0013600968491141094,0.008175874252096607,0.5045454545454545
qcan-bleu-flex,0.14791530020705967,-0.44092435210211023,0.4860269599530201,0.0013600968491141094,0.008175874252096607,0.5045454545454545
rouge_4,-0.02324326718256473,-0.5060756875133154,0.38613429565510343,-0.1417799899339959,-0.1217461883894185,0.4318181818181818
qcan-rouge-4-strict,-0.06520298196954366,-0.5910315383176324,0.3483612049509694,-0.14235680354061012,-0.1144622395293525,0.43636363636363634
qcan-rouge-4-flex,-0.06520298196954366,-0.5879654304947216,0.34686561003551664,-0.14235680354061012,-0.1144622395293525,0.43636363636363634
