metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.7537196711281935,0.5367697271025166,0.885170235647319,0.6975311517074626,0.6160860684966187,0.6897810218978102
qcan-bleu-strict,0.5867179890280655,0.29270783003201445,0.791503923931812,0.5121447860320019,0.3839385476569422,0.7104622871046229
qcan-bleu-flex,0.5822551575507647,0.30942147005863796,0.7829057337775868,0.5026460537896259,0.3746823144174298,0.7055961070559611
bleu,0.5698434465427713,0.30300339961562484,0.7482758852596227,0.523959069929084,0.4008822485365786,0.7201946472019465
rouge_4,0.39761901211511813,-0.053280384120296245,0.6369648665567548,0.2986491091226381,0.22369672432151624,0.6228710462287105
qcan-rouge-4-strict,0.339120097404917,-0.0011727689877795307,0.6345880776988274,0.2779080234282181,0.22414909429682753,0.6228710462287105
qcan-rouge-4-flex,0.32157699953264646,-0.02171743223666956,0.6369951093799234,0.27788254948129,0.22392256660449944,0.6228710462287105
