metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.7362050661089865,0.6216284301635755,0.8290671239635465,0.7063605087927791,0.6405550150580118,0.7285386631716907
qcan-rouge-4-strict,0.39449765925653035,0.188899060728251,0.5936585758679063,0.4418517859994511,0.34961503416699397,0.7062581913499345
qcan-rouge-4-flex,0.3890710680544165,0.18267599174087149,0.5929529089133202,0.4368499936653266,0.3415331584493675,0.7039646133682831
qcan-bleu-strict,0.3016727704702703,0.11384725668375968,0.48800963245813955,0.35295939830452605,0.2765493288041866,0.6631716906946264
qcan-bleu-flex,0.2391445096143674,0.032417861482396323,0.44282188896833785,0.2859012088485153,0.2163176172616124,0.6307339449541285
rouge_4,0.17675664466079194,-0.030737993625363853,0.3759741028340814,0.18303632238695383,0.1419632259088963,0.5856815203145478
bleu,0.06865610738393063,-0.12987112488393499,0.2714856535223783,0.044111368671618634,0.02819176966818006,0.5170380078636959
