metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.8213711619106216,0.7838397218015499,0.856698776429331,0.8086410288275309,0.7382551716886723,0.7824732097022588
qcan-rouge-4-strict,0.4873347033392168,0.4218930255330008,0.5495954422822021,0.4705636399451798,0.36720894490629374,0.7171417800308009
qcan-rouge-4-flex,0.4797829723153866,0.4104358183236148,0.5441832211041754,0.4554133815173137,0.3517350429311116,0.7092811537474333
qcan-bleu-strict,0.4372035910214261,0.366789340705043,0.5025929577316643,0.42626770633501176,0.3337294448806644,0.6973618775667351
qcan-bleu-flex,0.42484483239576376,0.35067503931902894,0.4936162781668315,0.3514514471102089,0.2634638677120647,0.6578542094455853
rouge_4,0.408528262944439,0.3351806655729255,0.4759462402385831,0.3511653977465414,0.26989106451258493,0.6610987230492813
bleu,0.3222401126252001,0.2411208819725887,0.39556896347972725,0.25084133959092997,0.182129418647182,0.6093389052874744
