metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.8629604388697057,0.8000628975706802,0.9167426804531017,0.8505924496675077,0.7784336568834257,0.8029794790844514
qcan-rouge-4-strict,0.5333833945726247,0.4070355253778144,0.6400688928411942,0.4932699654214536,0.38503662485165,0.7263220205209155
qcan-rouge-4-flex,0.50506020612415,0.36796476997212874,0.6177125219587858,0.4448868488017846,0.34068655775027695,0.7009668508287292
qcan-bleu-strict,0.4770749309774285,0.3270381058934137,0.5989276334378052,0.3927494855709317,0.2997285308489249,0.6762036306235202
qcan-bleu-flex,0.46582241588916246,0.324603470065844,0.587368005885729,0.3668266713914532,0.27590246612457403,0.6627861089187056
rouge_4,0.3911522566384024,0.2726988542892125,0.5006416279518369,0.28484779245666997,0.2169132671702926,0.6285516969218626
bleu,0.3491569508032709,0.18763240692191918,0.49187711189496763,0.20201988468947424,0.1547648072310476,0.5917521704814522
