metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.8703847240045898,0.7267779970767397,0.9391123233215539,0.7685713462729139,0.6793662204867574,0.7307692307692307
qcan-bleu-strict,0.540697250033986,0.14193393765817447,0.7558048765855438,0.43912037752093586,0.3396371916071103,0.6837606837606838
qcan-bleu-flex,0.540697250033986,0.1674184271399663,0.7589061708546283,0.43912037752093586,0.3396371916071103,0.6837606837606838
qcan-rouge-4-strict,0.4596988659173217,0.01920961674913583,0.6918279070022073,0.41774332060308095,0.2764488768895084,0.6495726495726496
qcan-rouge-4-flex,0.4596988659173217,0.0381854223027465,0.7008404352603463,0.41774332060308095,0.2764488768895084,0.6495726495726496
bleu,0.43877594804205766,-0.1208636090451126,0.7340465691943276,0.22080019208016738,0.18100699644912283,0.5982905982905983
rouge_4,0.3824952215582503,-0.26700724420612143,0.710981574800671,0.19854210820111826,0.14952751880579712,0.5811965811965812
