metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.773140422053533,0.6719825895037788,0.852730894037075,0.758104758704096,0.6763383488834133,0.7535701208348591
qcan-bleu-strict,0.5888408898637024,0.44712344510501784,0.7031469377392278,0.4451307298292941,0.3362423564067904,0.6904064445258147
qcan-rouge-4-strict,0.5818742252824033,0.43967301268774495,0.6941348754331549,0.47997529197473,0.3653924105691281,0.7068839253020871
qcan-bleu-flex,0.581555166734653,0.4468686147381931,0.6974177592853926,0.42128724326119366,0.3131196724257741,0.6779567923837422
qcan-rouge-4-flex,0.5611277162286242,0.4114187472564675,0.6795186526634843,0.431243128245728,0.3226913869857867,0.6833577444159649
bleu,0.4846705128609896,0.32339202058643873,0.6129207666095876,0.2954384484940889,0.2189688901305885,0.6250457707799341
rouge_4,0.4771660031232656,0.34775677959733997,0.5903927791472154,0.3295096014249579,0.24807012699529704,0.6416147931160747
