kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,db26_SPARQL-LLM_db26:41-en,-0.8102138167438546,1.0,1.0,0.1897861832561454
wins,db26_LIBER-AI-QWEN_db26:41-en,-0.630340489021796,1.0,0.7746182379132412,0.14427774889144532
wins,db26_LIBER-AI-QWEN_db26:41-es,-0.630340489021796,1.0,0.7746182379132412,0.14427774889144532
wins,ck26_SPARQL-LLM_ck26:39-en,-0.48492351861142335,1.0,1.0,0.5150764813885766
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:43-en,-0.4361284172853862,1.0,0.533427681593061,0.09729926430767476
fails,ck26_LIBER-AI-CLAUDE_ck26:43-en,0.3485245648911409,0.0,0.5057133385213529,0.157188773630212
fails,db26_LIBER-AI-CLAUDE_db26:41-en,0.33502915241239944,0.0,0.4541114111689965,0.11908225875659705
fails,ck26_SPARQL-LLM_ck26:44-en,0.277483516452267,1.0,0.45976675055767213,0.7372502670099391
fails,ck26_LIBER-AI-QWEN_ck26:39-en,0.24416391859974734,0.8571428571428571,0.13039899950636066,0.37456291810610803
fails,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:43-en,0.20078852992302412,0.020429009193054137,0.23713320246552005,0.03634467254249595
