metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
rouge_4,0.5277660136137593,0.25252777629967577,0.7225648610460949,0.50381949007987,0.33954119124397625,0.6729323308270677
exact_match_spinach,0.4802473387532693,0.2645468677019713,0.6688349489212679,0.5857535497174254,0.49559462778335206,0.6578947368421053
bleu,0.47186810013375474,0.08062737464179486,0.7270076119060382,0.43926080217353164,0.3247785307551077,0.6654135338345865
qcan-bleu-strict,0.3452305912816925,-0.06403950194284518,0.6165329354401117,0.4157056052347325,0.3026345400218049,0.6541353383458647
qcan-bleu-flex,0.3452305912816925,-0.0736899283377019,0.6066587342739781,0.4157056052347325,0.3026345400218049,0.6541353383458647
qcan-rouge-4-strict,0.24527377923712293,-0.34406493287515816,0.5846659123988944,0.17797259909314886,0.11071995366651399,0.556390977443609
qcan-rouge-4-flex,0.24527377923712293,-0.34614993451569764,0.568788469227136,0.17797259909314886,0.11071995366651399,0.556390977443609
