kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:12-en,-0.9656632491965965,1.0,1.0,0.034336750803403454
wins,db26_IRIS_db26:38-es,-0.953053807531547,1.0,1.0,0.046946192468453
wins,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:5-en,-0.9448341194363271,1.0,1.0,0.055165880563672894
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:5-en,-0.9432032255486442,1.0,1.0,0.0567967744513558
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:2-en,-0.9432032255486442,1.0,1.0,0.0567967744513558
fails,db26_IRIS_db26:19-en,0.8070625480078482,0.0,0.8371170098777919,0.030054461869943767
fails,db26_IRIS_db26:39-en,0.7693677238407401,0.0,0.8003203203844999,0.030952596543759713
fails,db26_IRIS_db26:31-en,0.6961553602445733,0.0,0.7910665071754358,0.09491114693086254
fails,db26_LIBER-AI-CLAUDE_db26:33-en,0.6719611528220477,0.0,0.7611606003349892,0.08919944751294157
fails,db26_INFAI-ETI-AND-FRIENDS-B_db26:15-en,0.6230029289821449,0.05813953488372093,0.722160038719837,0.017121960029749788
