kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:3-en,-0.5231703598678076,0.0,0.0,0.5231703598678076
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:4-en,-0.43191786378048935,0.0,0.0,0.43191786378048935
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:3-es,-0.35246360857775483,0.0,0.0,0.35246360857775483
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:5-es,-0.3503097518517077,0.0,0.0,0.3503097518517077
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:21-es,-0.33713757310040376,0.0,0.0,0.33713757310040376
fails,db26_LIBER-AI-CLAUDE_db26:21-es,0.2939904729073101,0.0,0.551764007896814,0.2577735349895039
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:4-en,0.27690749500417483,0.6,0.20911587494844336,0.4860233699526182
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:3-en,0.23717366192335892,0.6666666666666666,0.37102492544788307,0.608198587371242
fails,db26_LIBER-AI-QWEN_db26:21-en,0.20120208907918669,0.0,0.4064771064436676,0.2052750173644809
fails,db26_LIBER-AI-QWEN_db26:21-es,0.20120208907918669,0.0,0.4064771064436676,0.2052750173644809
