metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.5558363075132313,0.32789708416028207,0.7702055693163801,0.6849619933476798,0.5954371961386478,0.6772727272727272
qcan-rouge-4-strict,0.5095692436022663,0.24225643888990372,0.7145851394573665,0.5848531597468715,0.4370188612670306,0.7272727272727273
qcan-rouge-4-flex,0.5095692436022663,0.23267102028871559,0.7143536977845518,0.5848531597468715,0.4370188612670306,0.7272727272727273
qcan-bleu-strict,0.27457103287061374,-0.62865652778992,0.5947644099863384,0.17411658954296175,0.052442263352043675,0.5272727272727272
qcan-bleu-flex,0.27457103287061374,-0.6301647067079535,0.59158354189777,0.17411658954296175,0.052442263352043675,0.5272727272727272
rouge_4,0.15363439544458257,-0.5914292277210449,0.5857167530702911,0.02528038259917959,0.0,0.5
bleu,0.06723580084012863,-0.7555629697253063,0.4742180918896552,-0.10855693704353588,-0.12185435916898849,0.43636363636363634
