,feature_closeness_score
exact_match_spinach,0.17157569451810756
qcan-bleu-flex,0.17436520219274712
qcan-rouge-4-flex,0.1748823808391499
naive-can-bleu,0.17506562853308202
qcan-rouge-4-strict,0.17539519506424897
recall_qald,0.17603451901051637
hit@5,0.17620828199073268
query_execution,0.1762676138601131
naive-can-rouge-4,0.17660566519822649
f1_qald,0.17664346775108322
answerset_f1,0.17664346775108322
f1_spinach,0.1767936504503242
answerset_recall,0.17688936986816936
qcan-bleu-strict,0.1769181874748256
answerset_precision,0.17857403355986531
precision_qald,0.17857403355986537
mrr,0.1790993076338132
p@1,0.1831081052364269
token_recall,0.1835859050171945
cosine_sim,0.18678114719470465
rouge_3,0.19749342911151244
rouge_2,0.19895071465985525
rouge_4,0.20198445153286876
meteor,0.20617814196733858
jaccard,0.20848991128806693
rouge_1,0.2164198602291959
codebleu,0.22224333015894737
bleu,0.22584806588884784
sp-bleu,0.23474208326177856
token_f1,0.2527670205765947
levenshtein,0.25970168160764295
ndcg,0.2747450157022218
sp-f1,0.29784161881493126
token_precision,0.34387591296632114
euclidean,0.3577407303265935
uri_hallucination,0.6207290651908202
query_exact_match,0.6975586234008423
