,feature_closeness_score
qcan-rouge-4-strict,0.23623306069211505
qcan-rouge-4-flex,0.23743164093439093
qcan-bleu-strict,0.23748315713096324
qcan-bleu-flex,0.23773563079529844
bleu,0.23882336543216
meteor,0.23884255707212515
levenshtein,0.2408411461534128
rouge_4,0.2419892587220652
rouge_3,0.24385286521962446
rouge_2,0.24598399047126224
codebleu,0.24722747988489815
cosine_sim,0.25117137113758364
rouge_1,0.253947958637071
precision_qald,0.2596439109615008
answerset_precision,0.2596439109615008
token_f1,0.26016777676696834
sp-bleu,0.2615394072538599
f1_qald,0.26255405336250753
answerset_f1,0.26255405336250753
jaccard,0.26270888292764333
exact_match_spinach,0.27431971891379103
euclidean,0.2770971226397559
token_recall,0.27727058132309956
sp-f1,0.28658123940862656
f1_spinach,0.28868432537788563
query_execution,0.29642118288539204
answerset_recall,0.2976548247951936
recall_qald,0.2976548247951936
p@1,0.2986147996052136
token_precision,0.3021744048158322
mrr,0.3071662975140604
hit@5,0.31984350980529247
ndcg,0.4806349719254898
query_exact_match,0.6007255270317019
uri_hallucination,0.8506085158407874
