,feature_closeness_score
token_recall,0.22865196240812366
qcan-bleu-strict,0.22912948303726832
qcan-bleu-flex,0.22966016447776724
qcan-rouge-4-flex,0.22971562391351755
qcan-rouge-4-strict,0.22982919028704082
jaccard,0.23208036713003585
cosine_sim,0.23212941146235438
rouge_4,0.23314800800891894
rouge_1,0.233628048378591
rouge_3,0.23475915056292496
rouge_2,0.2350261509483175
naive-can-bleu,0.23659543545292724
naive-can-rouge-4,0.2386322807925027
meteor,0.24061281284218686
levenshtein,0.25862014402603384
bleu,0.26196771837004906
codebleu,0.2669706787056421
exact_match_spinach,0.2723644740429991
answerset_precision,0.27591188411738027
euclidean,0.2785879437079348
sp-bleu,0.2787692341131891
token_f1,0.2794753100076642
answerset_f1,0.27973343356264896
f1_qald,0.27973343356264896
query_execution,0.2965659661514375
sp-f1,0.2977616824901871
p@1,0.30104780014865956
f1_spinach,0.3098561864991559
mrr,0.3283088765839031
token_precision,0.33064345887280694
recall_qald,0.34174111968297793
answerset_recall,0.341741119682978
hit@5,0.365780341478287
query_exact_match,0.428143268619211
precision_qald,0.6198180274058191
uri_hallucination,0.8465818997080282
